Time (s), Voltage (V)
2.940772,-0.017107
2.950776,-0.017107
2.960776,-0.012219
2.97078,-0.012219
2.98078,-0.017107
2.99078,-0.012219
3.00078,-0.021994
3.01078,-0.017107
3.020784,-0.012219
3.030788,-0.012219
3.040788,-0.007331
3.050796,-0.017107
3.060796,-0.021994
3.070796,-0.012219
3.0808,-0.017107
3.090808,-0.007331
3.100808,-0.012219
3.110812,-0.026882
3.120812,-0.017107
3.13082,-0.007331
3.14082,-0.017107
3.15082,-0.012219
3.160824,-0.021994
3.170824,-0.017107
3.180828,-0.017107
3.190832,-0.012219
3.200836,-0.021994
3.210836,-0.012219
3.22084,-0.017107
3.23084,-0.021994
3.240844,-0.012219
3.250852,-0.021994
3.260864,-0.012219
3.270868,-0.007331
3.280868,-0.007331
3.290868,-0.012219
3.300872,-0.012219
3.310872,-0.021994
3.320872,-0.007331
3.330872,-0.017107
3.340872,-0.017107
3.350876,-0.012219
3.360876,-0.017107
3.37088,-0.012219
3.380888,-0.002444
3.390892,-0.012219
3.400892,-0.017107
3.410892,-0.017107
3.420896,-0.017107
3.430896,-0.017107
3.4409,-0.017107
3.450904,-0.026882
3.460908,-0.021994
3.470908,-0.021994
3.480908,-0.021994
3.490908,-0.017107
3.500908,-0.021994
3.510908,-0.026882
3.520912,-0.017107
3.530916,-0.017107
3.540916,-0.017107
3.55092,-0.017107
3.560924,-0.026882
3.570924,-0.017107
3.580928,-0.017107
3.590928,-0.021994
3.600932,-0.017107
3.610936,-0.017107
3.62094,-0.021994
3.63094,-0.017107
3.64094,-0.017107
3.65094,-0.017107
3.66094,-0.017107
3.67094,-0.017107
3.68094,-0.017107
3.690948,-0.017107
3.700952,-0.017107
3.710956,-0.012219
3.720964,-0.007331
3.730964,-0.021994
3.740972,-0.012219
3.750972,-0.007331
3.760976,-0.012219
3.770976,-0.012219
3.78098,-0.017107
3.79098,-0.021994
3.800984,-0.012219
3.810988,-0.017107
3.820992,-0.017107
3.830996,-0.017107
3.841,-0.017107
3.851,-0.012219
3.861004,-0.007331
3.871004,-0.012219
3.881008,-0.002444
3.891008,-0.012219
3.901012,-0.021994
3.911016,-0.017107
3.92102,-0.017107
3.931024,-0.017107
3.941028,-0.012219
3.951028,-0.021994
3.961028,-0.012219
3.971028,-0.017107
3.981032,-0.017107
3.991032,-0.012219
4.001032,-0.012219
4.011036,-0.021994
4.02104,-0.017107
4.031044,-0.012219
4.041044,-0.026882
4.051048,-0.017107
4.061052,-0.017107
4.071052,-0.026882
4.081056,-0.012219
4.091056,-0.021994
4.10106,-0.026882
4.11106,-0.026882
4.121064,-0.021994
4.131068,-0.021994
4.141072,-0.026882
4.151076,-0.026882
4.161076,-0.026882
4.171076,-0.026882
4.18108,-0.026882
4.191084,-0.021994
4.201088,-0.026882
4.211088,-0.021994
4.221092,-0.012219
4.231092,-0.017107
4.2411,-0.017107
4.251104,-0.017107
4.261108,-0.021994
4.271112,-0.017107
4.281112,-0.007331
4.291116,-0.026882
4.30112,-0.017107
4.31112,-0.007331
4.32112,-0.021994
4.331124,-0.012219
4.341124,-0.017107
4.351132,-0.021994
4.361136,-0.012219
4.371136,-0.017107
4.381136,-0.012219
4.39114,-0.017107
4.401148,-0.021994
4.411152,-0.017107
4.421152,-0.012219
4.431156,-0.012219
4.44116,-0.012219
4.451164,-0.017107
4.461168,-0.021994
4.471168,-0.012219
4.481172,-0.012219
4.491176,-0.021994
4.50118,-0.012219
4.511184,-0.017107
4.521184,-0.012219
4.531184,-0.012219
4.541184,-0.021994
4.551188,-0.017107
4.561192,-0.012219
4.571192,-0.012219
4.581192,-0.007331
4.591196,-0.017107
4.6012,-0.017107
4.611204,-0.012219
4.621204,-0.017107
4.631212,-0.012219
4.64122,-0.007331
4.65122,-0.017107
4.66122,-0.012219
4.67122,-0.012219
4.68122,-0.012219
4.691224,-0.017107
4.701228,-0.017107
4.711228,-0.021994
4.721228,-0.012219
4.731228,-0.007331
4.741232,-0.021994
4.751232,-0.012219
4.761232,-0.012219
4.771236,-0.017107
4.781244,-0.012219
4.791248,-0.017107
4.801252,-0.017107
4.81126,-0.012219
4.821264,-0.012219
4.831264,0.002444
4.841264,-0.012219
4.851264,-0.017107
4.861264,-0.012219
4.871268,-0.012219
4.881272,-0.012219
4.89128,-0.012219
4.901284,-0.021994
4.911292,-0.021994
4.921296,-0.017107
4.9313,-0.017107
4.9413,-0.021994
4.951304,-0.017107
4.961304,-0.017107
4.971308,-0.012219
4.981308,-0.012219
4.991308,-0.021994
5.001316,-0.021994
5.01132,-0.017107
5.02132,-0.017107
5.03132,-0.012219
5.041324,-0.012219
5.051324,-0.021994
5.061328,-0.007331
5.071328,-0.017107
5.081332,-0.017107
5.09134,-0.007331
5.10134,-0.012219
5.111344,-0.017107
5.121348,-0.012219
5.131352,-0.012219
5.141352,-0.017107
5.151352,-0.017107
5.161352,-0.021994
5.171352,-0.017107
5.181352,-0.017107
5.19136,-0.026882
5.201364,-0.007331
5.211368,-0.021994
5.221368,-0.017107
5.231372,-0.012219
5.241376,-0.017107
5.251376,-0.017107
5.261376,-0.012219
5.271376,-0.017107
5.281384,-0.012219
5.291384,-0.017107
5.301384,-0.021994
5.311384,-0.017107
5.321384,-0.007331
5.331396,-0.017107
5.341404,-0.017107
5.351404,-0.021994
5.361408,-0.017107
5.371408,-0.017107
5.381412,-0.021994
5.391416,-0.021994
5.40142,-0.007331
5.411424,-0.017107
5.421424,-0.007331
5.431432,-0.017107
5.441432,-0.021994
5.451436,-0.012219
5.46144,-0.017107
5.471444,-0.012219
5.481448,-0.007331
5.491448,-0.012219
5.501452,-0.026882
5.511452,-0.012219
5.521452,-0.041544
5.531452,-0.046432
5.54146,-0.05132
5.551464,-0.056207
5.561464,-0.05132
5.571468,-0.041544
5.581468,-0.05132
5.591468,-0.046432
5.601468,-0.046432
5.611472,-0.041544
5.621476,-0.036657
5.631476,-0.031769
5.64148,-0.041544
5.65148,-0.021994
5.66148,-0.021994
5.67148,-0.017107
5.681484,-0.017107
5.691488,-0.026882
5.701492,-0.017107
5.711496,-0.012219
5.721496,-0.021994
5.731496,-0.012219
5.741496,-0.021994
5.7515,-0.017107
5.7615,-0.012219
5.7715,-0.012219
5.781504,-0.017107
5.791504,-0.017107
5.801504,-0.021994
5.811504,-0.021994
5.821504,-0.007331
5.831504,-0.017107
5.841504,-0.021994
5.851508,-0.017107
5.861508,-0.012219
