Time (s), Voltage (V)
2.98072,-0.07087
2.990732,-0.100195
3.00074,-0.036657
3.010744,-0.134409
3.020744,-0.031769
3.030744,-0.149071
3.040748,-0.153959
3.050756,-0.046432
3.06076,-0.197947
3.07076,0.026882
3.080768,-0.05132
3.090776,-0.109971
3.100776,-0.065982
3.110784,-0.222385
3.120784,-0.095308
3.130784,-0.163734
3.140784,-0.207722
3.150784,-0.080645
3.160792,-0.168622
3.170796,-0.036657
3.180796,-0.100195
3.1908,-0.095308
3.200804,-0.114858
3.210808,-0.05132
3.220808,-0.031769
3.230808,-0.207722
3.240808,-0.178397
3.250812,-0.07087
3.260812,-0.061095
3.270816,-0.173509
3.28082,-0.202835
3.290824,-0.217498
3.300824,-0.085533
3.310824,-0.21261
3.320832,-0.095308
3.330832,-0.100195
3.340836,-0.158847
3.350844,-0.05132
3.360848,-0.241935
3.370852,-0.046432
3.380852,-0.124633
3.390856,-0.19306
3.400856,-0.119746
3.41086,-0.183285
3.42086,-0.05132
3.430864,-0.158847
3.440864,-0.158847
3.450872,-0.065982
3.460872,-0.197947
3.470872,-0.139296
3.480872,-0.129521
3.490872,-0.158847
3.50088,-0.041544
3.510884,-0.173509
3.520884,0.031769
3.530888,-0.031769
3.540888,-0.114858
3.550892,-0.119746
3.560896,-0.080645
3.5709,-0.036657
3.580904,-0.056207
3.590904,-0.183285
3.600904,-0.002444
3.610904,-0.290811
3.620904,-0.339687
3.630904,-0.579179
3.640912,-0.603617
3.650916,-0.500977
3.66092,-0.505865
3.670928,-0.422776
3.680928,-0.388563
3.690936,-0.344575
3.700936,-0.139296
3.71094,-0.266373
3.72094,-0.061095
3.73094,-0.061095
3.74094,-0.124633
3.75094,0.046432
3.76094,-0.041544
3.770944,0.085533
3.780948,-0.065982
3.790952,0.002444
3.800956,0.075758
3.81096,-0.007331
3.82096,0.061095
3.83096,-0.017107
3.84096,-0.021994
3.850968,-0.021994
3.860972,-0.017107
3.870972,0.085533
3.880972,-0.036657
3.890976,0.021994
3.900976,0.065982
3.91098,-0.129521
3.92098,0.056207
3.93098,0.012219
3.940988,-0.080645
3.950988,0.05132
3.960992,-0.075758
3.970996,0.017107
3.981,0.002444
3.991,-0.075758
4.001008,0.080645
4.011008,-0.07087
4.021012,0.007331
4.03102,-0.075758
4.041028,-0.046432
4.051032,0.046432
4.06104,-0.021994
4.07104,-0.036657
